Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,5.23,94.77,545741,9884753,10430494,9884743,10976235,918
opt.Clairvoyant,25.62,74.38,2671951,7758543,10430494,7758533,,4171
sampled.sampled.Lru,5.21,94.79,543922,9886572,10430494,9886562,59863304,1474
