Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,15.76,84.24,34012119,181784138,215796257,181568342,249808376,74750
opt.Clairvoyant,17.44,82.56,37631622,178164635,215796257,177948839,,466041
sampled.sampled.Lru,15.67,84.33,33820043,181976214,215796257,181760418,1124598347,132617
