Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,96.10,3.90,1600804382,64881487,1665685869,48224628,3266490251,384869
sampled.sampled.Lru,95.93,4.07,1597915559,67770310,1665685869,51113451,1767912771,238158
