Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,16.60,83.40,35819298,179976959,215796257,177818996,251615555,107762
opt.Clairvoyant,19.37,80.63,41801002,173995255,215796257,171837292,,648140
sampled.sampled.Lru,16.54,83.46,35693449,180102808,215796257,177944845,571685947,177798
