Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,57.76,42.24,18465088,13501908,31966996,6113772,50432084,11331
opt.Clairvoyant,67.22,32.78,21487168,10479828,31966996,3091692,,45305
sampled.sampled.Lru,56.50,43.50,18061457,13905539,31966996,6517403,64554011,16698
