Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,77.53,22.47,7753,2247,10000,0,17753,5
sampled.sampled.Lru,77.53,22.47,7753,2247,10000,0,10000,5
