Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,24.85,75.15,211594415,639776135,851370550,639776127,1062964965,36331
sampled.sampled.Lru,24.80,75.20,211146424,640224126,851370550,640224118,4052491140,68901
