Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,17.45,82.55,11375806,53796839,65172645,52512051,76548451,34373
sampled.sampled.Lru,18.22,81.78,11875839,53296806,65172645,52012018,117184663,51820
