Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,56.22,43.78,936398449,729287420,1665685869,729287404,2602084318,71733
sampled.sampled.Lru,56.21,43.79,936257600,729428269,1665685869,729428253,5312827134,90048
