Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,99.93,0.07,153814496,104833,153919329,89442,307733825,8432
opt.Clairvoyant,99.96,0.04,153863435,55894,153919329,40503,,60229
sampled.sampled.Lru,99.89,0.11,153754832,164497,153919329,149106,154217541,7662
