Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,76.95,23.05,7695,2305,10000,0,17695,6
sampled.sampled.Lru,76.95,23.05,7695,2305,10000,0,10000,5
