Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,24.24,75.76,33451952,104572640,138024592,100508605,171476544,43603
sampled.sampled.Lru,25.56,74.44,35275772,102748820,138024592,98684785,631448517,96552
