Policy,Hit Rate,Miss Rate,Hits,Misses,Requests,Evictions,Steps,Time
linked.Lru,57.83,42.17,963342070,702343799,1665685869,702342134,2629027939,72507
sampled.sampled.Lru,57.79,42.21,962652740,703033129,1665685869,703031464,5180843189,99796
